temperature	steps	time	nInterstitial	iJumps	vJumps
500	7909924	1e-06	56	0	7909923
500	6267845	1e-06	44	0	6267844
500	7709494	1e-06	57	0	7709493
500	8297896	1e-06	61	0	8297895
500	7370681	1e-06	53	0	7370680
500	8187402	1e-06	60	0	8187401
500	6955363	1e-06	50	0	6955362
500	7495216	1e-06	55	0	7495215
500	7091239	1e-06	51	0	7091238
500	6952230	1e-06	47	0	6952229
1500	30180038	1e-06	44	2036357	28143680
1500	32730090	1e-06	46	2211930	30518159
1500	30825380	1e-06	46	2081796	28743583
1500	35398091	1e-06	52	2389632	33008458
1500	28729805	1e-06	40	1941111	26788693
1500	25339743	1e-06	36	1711619	23628123
1500	34710529	1e-06	53	2342652	32367876
1500	31831281	1e-06	46	2149635	29681645
1500	31645485	1e-06	46	2136907	29508577
1500	31633226	1e-06	46	2137600	29495625
2500	195474124	1e-06	50	153771944	41702179
2500	183132931	1e-06	47	144055752	39077178
2500	207704149	1e-06	53	163387986	44316162
2500	207046576	1e-06	53	162870851	44175724
2500	188539431	1e-06	47	148320863	40218567
2500	198113982	1e-06	50	155848562	42265419
2500	198263521	1e-06	51	155968296	42295224
2500	182789493	1e-06	46	143791573	38997919
2500	196144775	1e-06	50	154309653	41835121
2500	199418615	1e-06	51	156863108	42555506
